MDRPY,MDRACTL,MDRCSNT,MDRFINAL,MDRRND,MDRVWL,MDRNSL,MDNLQDR,MDRTN,CTNPY,CTNACTL,CTNCSNT,CTNFINAL,CTNRND,CTNVWL,CTNNSL,CTNSTP,CTNTN,CHAR,FRQ,CMT
hen,hen,h,en,/,e,n,/,2,han,han,h,an,/,a,n,/,4,痕,1,
hen,hen,h,en,/,e,n,/,3,han,han,h,an,/,a,n,/,2,很,1,
hen,hen,h,en,/,e,n,/,4,han,han,h,an,/,a,n,/,6,恨,1,
heng,heng,h,eng,/,e,ng,/,1,hang,hang,h,ang,/,a,ng,/,1,亨,3,
heng,heng,h,eng,/,e,ng,/,2,waang,waang,w,aang,/,aa,ng,/,4,横,1,
hong,hung,h,ung,/,u,ng,/,1,gwang,gwang,g,wang,w,a,ng,/,1,轰,2,
hong,hung,h,ung,/,u,ng,/,1,hung,hung,h,ung,/,u,ng,/,1,哄,1,
hong,hung,h,ung,/,u,ng,/,1,hung,hung,h,ung,/,u,ng,/,3,烘,2,
hong,hung,h,ung,/,u,ng,/,2,hung,hung,h,ung,/,u,ng,/,4,红,1,
hong,hung,h,ung,/,u,ng,/,2,wang,wang,w,ang,w,a,ng,/,4,宏,2,
hu,hu,h,u,/,u,/,/,1,fu,fu,f,u,/,u,/,/,1,乎,2,
hu,hu,h,u,/,u,/,/,1,fat,fat,f,at,/,a,/,t,1,忽,1,
hu,hu,h,u,/,u,/,/,2,wu,wu,w,u,w,u,/,/,4,胡,1,
hu,hu,h,u,/,u,/,/,3,fu,fu,f,u,/,u,/,/,2,虎,1,
hu,hu,h,u,/,u,/,/,3,wu,wu,w,u,w,u,/,/,2,浒,3,
hu,hu,h,u,/,u,/,/,4,wu,wu,w,u,w,u,/,/,6,护,1,
hua,hwa,h,wa,w,a,/,/,1,faa,faa,f,aa,/,aa,/,/,1,花,1,
hua,hwa,h,wa,w,a,/,/,2,waa,waa,w,aa,w,aa,/,/,4,华,1,
hua,hwa,h,wa,w,a,/,/,2,waak,waak,w,aak,w,aa,/,k,6,滑,1,
hua,hwa,h,wa,w,a,/,/,4,waak,waak,w,aak,w,aa,/,k,6,画,1,
hua,hwa,h,wa,w,a,/,/,4,faa,faa,f,aa,/,aa,/,/,3,化,1,
hua,hwa,h,wa,w,a,/,/,4,waa,waa,w,aa,w,aa,/,/,6,话,1,
